1LDbBEqndip1dhPMszjT6n3CzuD768R5aR,16,8,8,0,89,89,0,82,45,44063,43930,2753,2745,8,16,11,11,2879,191,411,411,0.9
1CrhRvGShwmQkrGcqFzDDwDDBiEhKpHAqF,2,1,1,0,31,31,0,96,54,93092,93088,46546,46544,1,3,31,31,76,76,76,76,2.0
1AbH5pFqocUYVhRqPAtJruVr5DMAxEANmn,2,1,1,0,264,264,0,139,84,217957,217952,108978,108976,2,3,264,264,24,24,24,24,2.0
335fzCsBgqbU71hgEhrDD4k6d7cMfndVyM,110,32,30,0,25,25,0,92,0,4467,4465,40,40,0,0,0,0,701,6,22,24,26.3
1FM8vDXinj2N5LoTXX5J4MSGTCn2pPkqRm,2,1,1,0,31,31,0,140,92,281832,281827,140916,140913,2,4,31,31,24,24,24,24,2.0
1PkNUTCuwvt3zo5VZEruJXnMwsrX9kts2n,2,1,1,0,2,2,0,34,41,62887,62887,31443,31443,0,0,2,2,23,23,23,23,2.0
198abjHhvxtLiNVSFu6kvTZgBoi43LVvJh,38,19,19,0,7,7,0,261,617,43844,43763,1153,1151,2,0,0,0,15914,430,884,884,0.4
18g2RSp4MxzkyNkigpYDejP2jMgkJ2Po9A,2,1,1,0,279,279,0,144,73,144063,144058,72031,72029,2,3,279,279,170,170,170,170,2.0
12h4k33sxRGQNyt6KHimZBfF3AHEhcsLzi,15,7,7,1,120,120,0,28,13,21735,21728,1449,1448,0,0,17,17,13416,958,2236,2236,0.2
18EtnQhsbQzvzjfCh6ekPe4kBE9QNap1ac,12,6,6,0,30,30,0,67,22,31750,31708,2645,2642,3,7,5,5,3918,356,783,783,0.5
12dGTaQZtMA8q9U6S354QqsK9DuVWAYuea,13,3,5,5,101,101,0,97,431,37753,37738,2904,2902,1,4,33,20,14772,1231,7386,3693,0.1
1GiH7hyNfSwoN6TBk9MSp8RcGifvWVMasN,211,28,26,0,252,252,0,56,18,180618,180486,856,855,0,3,9,9,3973,18,147,158,8.9
3FPHuFiaiUU5Asku6VJ6EuX92mDwV9j4St,426,25,25,0,155573,155573,0,1,2,320100,320117,751,751,0,0,6222,6222,14652,34,610,610,4.9
1BHMKUSSoajj3NgGZLJGRaSBCc3ewN2nfh,214,25,25,0,5444,5444,0,16,2,110928,110925,518,518,0,1,217,217,3051,14,127,127,11.8
13quu3YvKGUEUTHTCYTMS9MCGgAqD2Hopj,98,25,25,0,333,333,0,50,8,230371,230168,2350,2348,2,6,13,13,11593,119,483,483,1.4
1GKJ8sznXYYh4nkah3zC9PihfUopCkqApG,16,8,8,0,147,147,0,16,29,51618,51614,3226,3225,0,0,18,18,2767,184,395,395,1.0
1DDTF7rSQqJCA6A8rURNdydQW84gewcYSd,1191,30,22,0,229596,229595,0,1,1,962527,962515,808,808,0,0,7653,10436,11149,9,384,530,17.9
1a7vfvj8kR7mxcxJRt8C8ibeJd1eSdqh3,18,9,9,0,645,645,0,102,45,165826,165776,9212,9209,2,9,71,71,3025,177,378,378,1.0
195rycdSmRf1tQDztryRkZWKaFgFwM1PPG,2,1,1,0,1,1,0,54,37,13480,13473,6740,6736,3,7,1,1,0,0,0,0,2.0
3DgTtPQpwJipf6AQfiza6thpnRzLuM1pLu,7,3,3,1,1842,1842,0,15,21,45187,45187,6455,6455,0,0,614,614,467,77,233,233,2.5
1LGcYAyAvGNjc5nTgFL6ZUWsD2oTqsACT8,250,26,25,0,44932,44932,0,20,3,828619,828552,3314,3314,0,2,1728,1797,926,3,37,38,45.3
1PzNrB5HDegCWSVtojDdJRwbxXac4DC3i2,6,3,3,0,17,17,0,90,30,70876,70868,11812,11811,1,2,5,5,5050,1010,2525,2525,0.2
15GS5XkBrbh6PSkaSQJ7PAEWRz4e5VPjie,10,3,3,4,61,61,0,17,21,14673,14670,1467,1467,0,0,20,20,1342,149,671,671,1.3
1Pt4mRdsnwgJjtoP4HCBwxSvtFV4Pv57NN,14,7,7,0,38,38,0,101,24,70498,70488,5035,5034,0,4,5,5,2928,225,488,488,0.8
1Xp584K2fP78nVze4SiWf9YyGPS14uDzy,6,3,3,0,99,99,0,7,10,19412,19412,3235,3235,0,0,33,33,862,172,431,431,1.2
